date,time,table_number,capacity,customer_name,phone,num_guests,status,special_requests
2025-11-20,12:00,1,2,,,0,available,
2025-11-20,12:00,2,4,,,0,available,
2025-11-20,12:00,3,6,,,0,available,
2025-11-20,12:00,4,2,,,0,available,
2025-11-20,12:00,5,8,,,0,available,
2025-11-20,13:00,1,2,,,0,available,
2025-11-20,13:00,2,4,,,0,available,
2025-11-20,13:00,3,6,,,0,available,
2025-11-20,13:00,4,2,,,0,available,
2025-11-20,13:00,5,8,,,0,available,
2025-11-20,19:00,1,2,Jean Dupont,0612345678,2,booked,Fenêtre si possible
2025-11-20,19:00,2,4,Noë,[Customer's Phone Number],1,booked,
2025-11-20,19:00,3,6,Noé,0769624380,1,booked,
2025-11-20,19:00,4,2,,,0,available,
2025-11-20,19:00,5,8,,,0,available,
2025-11-20,20:00,1,2,,,0,available,
2025-11-20,20:00,2,4,Marie Martin,0623456789,4,booked,Anniversaire
2025-11-20,20:00,3,6,,,0,available,
2025-11-20,20:00,4,2,,,0,available,
2025-11-20,20:00,5,8,,,0,available,
2025-11-21,12:00,1,2,,,0,available,
2025-11-21,12:00,2,4,,,0,available,
2025-11-21,12:00,3,6,,,0,available,
2025-11-21,12:00,4,2,,,0,available,
2025-11-21,12:00,5,8,,,0,available,
2025-11-21,19:00,1,2,,,0,available,
2025-11-21,19:00,2,4,[Customer's Name],[Customer's Phone Number],4,booked,[]
2025-11-21,19:00,3,6,,,0,available,
2025-11-21,19:00,4,2,,,0,available,
2025-11-21,19:00,5,8,,,0,available,
2025-11-22,12:00,1,2,,,0,available,
2025-11-22,12:00,2,4,,,0,available,
2025-11-22,12:00,3,6,,,0,available,
2025-11-22,12:00,4,2,,,0,available,
2025-11-22,12:00,5,8,,,0,available,
2025-11-22,19:00,1,2,Noé,+33769624396,2,avaible,
2025-11-22,19:00,3,6,Coco,+33769624396,4,available,
2025-11-22,19:00,4,2,Noé,07.1962,1,avaible,
2025-11-22,19:00,5,8,Christmas,0.799.42.43.96,5,avaible,
